title,"name_in_the_communication_poem(字, 別號, 姓+字, or 姓+名)",notes(other name patterns),zi 字,hao 別號,surname_zi 姓+字,all_surnames
次韵酬姚都官時會堂見寄,,,,,,姚;時
次韵陳履常汝陰久雪賑饑,,,履常,,陳履常,陳;陰;常
次韻仇仁近有懷見寄十首,,,,,,懷;仇
次韻仇仁近用韻見示五首,,,,,,仇
次韻何茂恭永新見寄之什,,,茂恭,,何茂恭,何
次韻侯思孺將至黄州見簡,,,思孺,,侯思孺,侯;簡;黃
次韻傅子駿右司見貽一首,,,子駿,,傅子駿,傅
次韻元相閲猥藁見贈二首,,,,,,元;相
次韻元衡憶上饒見示七言,,,,,,饒;衡;元
次韻叔才以詩卷見還有作,,,叔才,,,
次韻台州姚舜諧見贈二首,,,舜諧,,,台;姚
次韻吕居仁詩尾見及四絕,,,居仁,,,
次韻君澤正月五日早見示,,,君澤,,,
次韻吳興守到官見貽一首,,,,,,吳
次韻吳襄陽寄示遊楚山詩,,,,楚山,,吳;山
次韻呂仲見提幹題翠眉亭,,,,,,呂;仲
次韻和同理王耿殿丞見贈,,,,,,王;耿;和
次韻和永叔新歲書事見寄,,,永叔,,,和
次韻和玉汝對月見懷西軒,,,玉汝,西軒,,懷;和
次韻和答斯遠入城見迎詩,,,斯遠,,,和
次韻和答斯遠見過書所見,,,斯遠,,,和
次韻和錢塘諸公賞梅十絕,,,,,,公;錢;和;梅
次韻和陳圖南見喜權金部,,,圖南,,陳圖南,陳;和;金;權;南
次韻大年姪見贈古詩二首,,,大年,,,古
次韻奉酬王給事見貽之什,,,,,,王
次韻奉酬趙景明法曹見贈,,,景明,,趙景明,趙;景;曹
次韻奉酬黄泰之狀元見寄,,,泰之,,,元;黃
次韻姜邦桀見訪留贈三詩,,,,,,姜
次韻子肅懷遠齋併以見及,,,子肅,遠齋,,懷
次韻宋希仲侍郎見貽一首,,,希仲,,,仲;宋
次韻宗郎中師仁見示古風,,,宗郎,,,宗;古
次韻宣州使君陳中書見寄,,,君陳,,,陳
次韻工部兄除夕見寄三首,,,,,,
次韻廣幕黄承事見寄二首,,,,,,廣;黃
次韻張懷安題雲頂浴室院,,,,,,雲;安;懷;張
次韻徐漕案部至廬陵見訪,,,,,,徐
次韻徐直翁仙霞嶺近衢州,,,直翁,,,翁;徐
次韻志宏見示寒翠亭之作,,,志宏;亭之,,,
次韻擇之見路傍亂草有感,,,擇之,,,路
次韻斯遠同彥章見過之作,,,斯遠;彥章,,,章
次韻昭掾徐子美見寄二首,,,子美,,,徐
次韻景純見寄叙相從之樂,,,從之;景純,,,從;樂;景;相
次韻木藴之狀元見寄之作,,,,,,元
次韻朱同人携妓見訪留題,,,,,,朱
次韻李同年誠之見貽之什,,,誠之,,,李
次韻李彭州乞鶴于虞萬州,,,,,,虞;彭;于;李
次韻李西美舍人見寄二首,,,西美,,李西美,李
次韻杜安行見寄憶梅之什,,,安行,,,安;杜;梅
次韻東皋寺主僧知恭見寄,,,,東皋,,東
次韻楊信仲見貽郊居二首,,,信仲,,楊信仲,楊;仲
次韻楊同年祕監見寄二首,,,,,,楊
次韻楚守孫直言職方見寄,,,,,,孫;方
次韻樂先生吳中見寄八首,,,,,,吳;樂
次韻次卿中秋月下書所見,,,次卿,,,秋
次韻歐陽廣明以詩送鉢盂,,,,,,廣;歐陽
次韻正輔表兄江行見桃花,,,正輔,,,
次韻毛漳州遣价爲壽二首,,,,,,毛;壽
次韻毛維瞻度支過杭見贈,,,,,,毛;支;杭
次韻水心端午思遠樓小集,,,水心;思遠,水心,,
次韻永叔試諸葛高筆戲書,,,永叔,,,葛;諸葛;高
次韻沈必先尚書見別一首,,,必先,,沈必先,別;沈
次韻潘先生莫春感懷見寄,,,,,,莫;潘;懷
次韻率行之見投因以賦別,,,行之,,,別
次韻玉堂盧蒲江省中木犀,,,,蒲江,,盧;蒲
次韻王宣義見過夜飲四絕,,,,,,王
次韻王立之雪中以酒見餉,,,立之,,王立之,王
次韻王蒙泉見寄併和鄙作,,,,蒙泉,,王;蒙;和
次韻盧虞卿樞密見寄之什,,,虞卿,,,虞;盧
次韻程伯寓司業見寄道舊,,,伯寓,,程伯寓,程
次韻程給事會稽懷古即事,,,懷古,,,懷;程;古
次韻答和叔見招茅庵弈棋,,,和叔,,,和;茅
次韻答致政杜公小詩見戲,,,,,,公;杜
次韻翁古晚府判見贈二首,,,,,,翁;古
次韻胡仲方因楊伯子見寄,,,仲方;伯子,,胡仲方;楊伯子,胡;楊;仲;方
次韻胡景參制機見壽二首,,,景參,,胡景參,胡;景;壽
次韻致遠自毘陵見寄二首,,,致遠,,,
次韻范伯廉機宜病起見寄,,,,,,宜;范
次韻蔡寛夫解元暮春見懷,,,,,,懷;蔡;元;解
次韻虞子建見咍贖带作醮,,,子建,,,虞
次韻許瑞石送邵容齋見寄,,,,容齋,,許;容;邵;石
次韻謝心老以緣事至魯山,,,魯山,,,魯;謝;山
次韻趙祖德送李衡陽有感,,,祖德,,趙祖德,祖;趙;衡;李
次韻趙簽判用李漕韻見示,,,,,,趙;李
次韻鄒幾聖舟次蕪江見寄,,,幾聖,,,鄒
次韻鄧州范仲成秘校見寄,,,仲成,,,成;仲;范;鄧
次韻鄭維心貽盧叔才一首,,,叔才,,,鄭;盧
次韻酬正仲見和并貽用之,,,用之;正仲,,,仲;和
次韻酬潭州周沆學士見寄,,,,,,周
次韻酬王夢得西湖上見寄,,,夢得,,,王
次韻金漢臣見雪聞雁二首,,,漢臣,,,金;聞
次韻金漢臣雨後病起見寄,,,漢臣,,,金;後
次韻錢遜叔清江圖後二首,,,叔清,,錢遜叔,錢;後
次韻陳心田郊居即事二首,,,,,,田;陳
次韻陳道士和徐星韻見寄,,,,,,陳;徐;和
次韻陳靜佳治中九日見寄,,,,,,陳
次韻陸巖老祠部見寄五首,,,巖老,,,陸
次韻韶守狄大夫見贈二首,,,,,,狄;韶
次韻顧子美見示久雨三首,,,子美,,,顧
次韻馬叔度再用前韻見寄,,,叔度,,,馬
次韻高陽吳中復待制見寄,,,,,,吳;高
次韻黃魯直見贈古風二首,,,魯直,,黃魯直,魯;黃;古
次韻龍陽孔方平秋居見懷,,,方平,,孔方平,懷;方;孔;秋;龍;平
次齊守巖老見示東湖之韵,,,巖老,東湖,,東;齊
歐陽文忠公夫人挽詞二首,,,文忠,,,公;歐陽
歐陽文忠索碑遣居二帖贊,,,文忠,,,歐陽;索
歸宜興，留題竹西寺三首,,,,,,宜
歸自江陰寄蔣知郡汪簽判,,,,,,汪;陰;蔣
永州四十里頭偶賦題郡驛,,,,,,
永豐驛逢故人趙伯庭過叔,,,,,,豐;趙
汝平諸公見和復用韻二首,,,,,,公;平;和
江夏與章冠之遇别後寄贈,,,冠之,,,後;章;夏
江鄰幾暫來相見去後戲寄,,,鄰幾,,江鄰幾,後;相
江鄰幾沈文通二學士見過,,,文通;鄰幾,,沈文通;江鄰幾,沈
池上見魚躍有懷姑孰舊遊,,,,,,池;懷;魚
沈敦謨和詩見寄復用元韵,,,,,,元;沈;和
河南受代前一日希深示詩,,,希深,,,南
浮舟之昌國謁韓克明知縣,,,昌國;克明,,,昌;韓
海上載筆依韻酬左偃見寄,,,,,,左
海外實未嘗見梅爲賦一絕,,,,,,梅
清江臺致酒贈范希遠龍圖,,,希遠,,,范;龍
清湘驛送王柳州南歸二絕,,,,,,王;柳;南
游稚周和余韻見示復答之,,,,,,余;周;和;游
湖南安撫劉龍圖挽詞二首,,,,,,安;劉;南;龍
漢南州按行江涘以詩見寄,,,,,,南
澶簽宗室伯言見寄爲次韻,,,伯言;宗室,,,宗
濟叔潤之兄弟見送出小渡,,,濟叔;潤之,,,
熊使君次韻見屬次韻答之,,,,,,熊
爲增城丞張元輔賦博見亭,,,,,張元輔,元;張
爲宜興鄭主簿賦寓軒一首,,,,,,鄭;宜
爲施衢州作超覽堂詩三首,,,,,,施
玉山驛見周東老題詩和之,,,和之;東老,,,東;山;周;和
王彦猷用色字韻見貽和答,,,彦猷,,,王;和
王火井見過先以詩寄用韵,,,,,,王;井
王駒父袖詩見過次韻贈之,,,駒父,,王駒父,王
用元亮韵答師川篇末見寄,,,師川,,,元
用大東萊臨川詩韻示諸兒,,,,,,東
用宇文龍圖韻贈龍華印老,,,,,,宇文;印;龍
用昌甫寄晁於潛詩韵寄之,,,,,,昌;晁;於
留別新繁縣靈慶院僧智公,,,,,,公;別
留别顯父且約相見于南陽,,,顯父;南陽,,,于;南;相
病中喜李仲霍王子載見過,,,子載;仲霍,,李仲霍,王;霍;仲;李
發合江數里寄楊商卿諸公,,,商卿,,楊商卿,楊;公;商
直孺叔用韵見贈再和爲謝,,,直孺;叔用,,,謝;和
社日宇文德和送酒次糜韵,,,德和,,,宇文;和;糜
祝子權以詩見招勉繼其韵,,,子權,,,權;祝
祠風師酬提刑趙學士見貽,,,,,,趙
祥符長老智華寫余真求贊,,,,,,余;符
秋夕不寐呈諫長樂道龍圖,,,樂道,,,樂;秋;龍
秋浦試院奉和馬駒父見寄,,,駒父,,,馬;浦;和;秋
端午日陪柳嚴州登千峯榭,,,,,,柳;嚴
答令狐司封使君舟中見寄,,,,,,封;令狐
答和閣老劉舍人雨中見寄,,,,,,劉;和
答張伯常之郢州塗中見寄,,,伯常,,,張;常
答曼叔見謝潁橋相過之什,,,曼叔,,,謝;相
答楊辛二君重陽對雨見寄,,,君重,,,楊;辛
答燕龍圖對雪宴百花見寄,,,,,,燕;龍
答荆門張都官維見和惠泉,,,,,,惠;和;張
縣民訴事有以禪僧見況者,,,,,,
罷官西京回寄河南張主簿,,,,,,張;南
老子度關圖送張會稽爲壽,,,子度,,,關;張;壽
耿天騭許浪山千葉梅見寄,,,,,,梅;葉;耿;許;山
聞沈元用帥南海喜而有作,,,,,沈元用,元;聞;沈;南
臨川洪守游南湖命予賦詩,,,,南湖,,洪;游;南
臨江仙 夜到揚州席上作,,,,,,席
臨行小頌别見春清潯二老,,,,,,
自上竺閑行至後磵題所見,,,,,,竺;後
自次前韻酬馬奧諸丈見和,,,,,,馬;和
自漁梁驛至衢州大雪有懷,,,,,,懷;梁
至浦城界聞武林失火而還,,,,,,武;聞;浦;林
舅氏自壽陽由京師歸安陸,,,,,,安;陸;壽
與吳昌國同遊靈水院二首,,,昌國,,,昌;吳
與孟震同遊常州僧舍三首,,,,,,孟;常
與歐陽伯威同飲遇卿江樓,,,遇卿;伯威,,歐陽伯威,歐陽
與襄陽太守張亞仲泛漢江,,,,,,仲;張
與諸公會飲崑山放生池亭,,,公會,,,池;公;山
興國燦老往漳州二偈送之,,,,,,
興安道中雪晴見羣山偶成,,,安道,,,安;山;成
舟行赴廣倅書所見示阿槿,,,,,,廣
舟過凌歊臺望見謝家青山,,,,青山,,家;謝;山;凌
艤舟昭亭送都官暫歸錢塘,,,,,,錢
茂實被檄權永新以詩寄之,,,茂實,,,權
蒙恩加職寄餘杭希文資政,,,希文,,,杭;蒙
行簡用前韻見貽復和酬之,,,行簡,,,和;簡
被牒行縣因書所見呈寮友,,,,,,
西江月 坐客見和復次韻,,,,,,和
西河 和周美成金陵怀古,,,美成,西河,周美成,和;金;成;周;古
見魯直題陶商翁碑後有感,,,商翁;魯直,,陶商翁,商;翁;後;魯;陶
觀靜江山水呈陳魯叟漕使,,,,,,陳;山;魯
訓蒙絕句 出門如見大賓,,,見大,,,蒙
諸葛元亮見和復用韻答之,,,,,,葛;元;諸葛;和
謝徐居厚汪叔潜携酒見訪,,,居厚,,徐居厚,汪;謝;徐
謝新淦令徐信甫至贛相過,,,信甫,,,謝;徐;相
謝李參政因送曹瀘州寄簡,,,,,,謝;曹;李;簡
謝王彦光提刑見訪并送茶,,,彦光,,,王;謝
謝章泉再以前韻見寄三首,,,,章泉,,謝;章
謝襄陽帥楊侍郎用轆轤體,,,,,,楊;謝
謝資政富公再以近詩見寄,,,,,,公;謝;富
謝陸梅磵曹靖庵見和拙稿,,,靖庵,梅磵,,陸;梅;和;謝;曹
謹常以墨戲見遺作此答之,,,謹常,,,常
譚俊明雪中見訪從而乞米,,,俊明,,,譚;從;米
讀范桐廬述嚴先生祠堂碑,,,,,,范;嚴
豐城送成父弟還玉山三首,,,成父,,,豐;山;成
賀楊樞密新建貢院三十韻,,,,,,賀;楊
賀祕書歐陽巽齋先生遷居,,,,巽齋,,賀;歐陽
贈卜者張生歌張歷陽人也,,,,,,張;卜
贈司空張公安道挽詞三首,,,安道,,,司空;空;張;公;安
贈孫元京近以詩見示二首,,,,,,元;孫
贈廬陵張濟夫陳子豪二首,,,濟夫,,,陳;張
贈東陽呂望孫周登二武士,,,,,,呂;東;武;周;孫
贈歐陽奇父偕弟益卿赴省,,,奇父,,,歐陽
趙忠簡孫璧見過有詩用韵,,,,,,趙;孫;簡
迎新倉守曾悅心道間偶賦,,,心道,,,曾
追和梅侍讀題貴池寺元韻,,,,,,池;元;和;梅
送一書記果公作天寧化士,,,,,,公;寧
送任浩朝散赴鄱陽景德鎮,,,,,,任;景
送侍左秘書高疏寮得處州,,,,,,高;左
送修孺歸通泉用陳圖南韻,,,圖南;修孺,,陳圖南,陳;南
送劉美中舍人赴漳州二首,,,美中,,劉美中,劉
送十七姪嶙承事赴任貴溪,,,,,,任
送周堂長歸慈溪寄何贊府,,,,,,何;周
送周子充左史奉祠歸廬陵,,,子充,,周子充,周;充;左
送嚴居厚棄官歸建陽溪莊,,,居厚,溪莊,嚴居厚,莊;嚴
送奉使鈐轄高侯之任成都,,,,,,任;侯;成;高
送孫會之縣尉秩滿歸廬陵,,,會之,,孫會之,孫;滿
送宇文尚書歸蜀之官遂寧,,,,,,宇文;寧
送宋謙父之清江因簡希亮,,,謙父,,宋謙父,宋;簡
送寧國軍宰崔寺丞移臨安,,,,,,崔;安;寧;宰
送崑山丞謝子潚解官還朝,,,,,,謝;山;解
送從兄祕校咸赴衢州都掾,,,,,,從
送承甫兄往長陽山從學詩,,,陽山;承甫,,,山;從
送新知永州陳祕丞瞻赴任,,,,,,陳;任
送新知永州陳秘丞瞻赴任,,,,,,陳;任
送朱郎中壽昌通判河中府,,,,,,昌;朱;壽
送李光道承事罷高郵酒官,,,光道,,,李;高
送李德遠寺丞奉祠歸臨川,,,德遠,,李德遠,李
送李載之殿丞赴海州榷務,,,載之,,李載之,李
送樓謙中赴江州德化主簿,,,謙中,,,
送歐陽主簿赴官韋城四首,,,,,,歐陽;韋
送歐陽員外歸覲滁州舍人,,,,,,歐陽
送歐陽瑩中往湖南謁卿漕,,,瑩中,,,歐陽;南
送求道人永福謁同參二首,,,道人,,,
送淨心大師住温州江心寺,,,,,,
送湛麟二兄之投子見秀巖,,,子見,秀巖,,
送王機宜歸襄陽侍下一首,,,,,,王;宜
送瑞安尉林叔全尊人還鄉,,,,,,安;全;林
送田使君都統離夔赴合州,,,,,,田;夔
送禮部潘尚書致仕還建安,,,,,,潘;安
送章元德司理罷官歸永嘉,,,,,,章;元
送章邦傑移家餘杭包家山,,,家山;邦傑,,,包;家;章;杭;山
送純老往會稽住華嚴二首,,,純老,純老,,嚴
送舜侍者見萬壽退耕和尚,,,,,,和;壽
送董一之之長沙謁周丞相,,,一之,,,周;沙;相;董
送蕭仲和往長沙見張欽夫,,,仲和;欽夫,,張欽夫;蕭仲和,和;沙;仲;張;蕭
送襄陽從事李友諒歸錢塘,,,,,,從;錢;李
送西京宗博林茂南赴烏程,,,茂南,,林茂南,程;宗;烏;南;林
送許郎中歙州判官兼黟縣,,,,,,許
送趙叔自吏部知福州四首,,,,,,趙
送趙時校書之任臨川司理,,,,,,任;趙;時
送趙編修知眉州分韻登字,,,,,,趙
送達州惠禪人見徑山無準,,,無準,,,惠;山
送里人陳會往見江西漕使,,,,,,陳
送長安僉判鮮于子駿還闕,,,子駿,,鮮于子駿,于;鮮于;闕;安
送長溪高國楹從學朱元晦,,,國楹,,高國楹;朱元晦,元;朱;從;高
送青神丞劉平仲解官三絕,,,平仲,,劉平仲,劉;平;仲;解
送高郵周主簿兼呈陳君端,,,,,,陳;周;高
送鮮于都曹歸蜀灌口舊居,,,,,,于;鮮于;曹
送黄仲秉少卿知瀘州二首,,,仲秉;少卿,,,仲;黃
途中書懷寄奉化知縣二首,,,,,,懷
進退格送蘇金華解官東歸,,,,,,東;金;蘇;解
遂寧府始見平川喜成短歌,,,,,,平;成;寧
過清湘洮陽驛和方孚若韻,,,孚若,,方孚若,和;方
過王師嶺堠見荆門郢州山,,,,,,王;山
過豐城見甘叔異懷孫溫叟,,,叔異;溫叟,,,溫;懷;甘;豐;孫
遠去親側浩然歸心再用韻,,,浩然,,,
避地惠陽鼓峰用徐心遠韻,,,心遠,,,惠;徐
邀陳氏子飯歸似銅山珣老,,,,,,陳;山
還守台州次陸務觀贈行韻,,,務觀,,陸務觀,台;陸
邵武山人楊壽卿臨別索詩,,,武山;壽卿,,,武;邵;楊;壽;山;索;別
邵武游氏老人三清堂紫芝,,,紫芝,,,武;邵;游
鄭南壽攜詩見過次韻謝之,,,南壽,,,鄭;謝;南;壽
酬仁上人望湖山見寄次韻,,,,,,山
酬仲通初提舉崇福宮見寄,,,仲通,,,宮;仲;初
酬周開祖示長調見索詩集,,,開祖,,周開祖,祖;周;索
酬寺簿勸農追和淵明見貽,,,淵明,,,農;和
酬歐陽舍人寄題醉翁亭詩,,,醉翁,醉翁,,翁;歐陽
酬王正仲登嶽麓寺閣見寄,,,仲登,,王正仲,王;仲
酬金華山人春日見寄之什,,,,,,金;山
酬黄子厚見訪歸途惠詩韻,,,子厚,,,惠;黃
重九竹園見梨花懷子中兄,,,子中,,,懷
銅陵縣端午日寄兄弟二首,,,,,,
錢塘學中寄伯思六言五首,,,伯思,,,錢
錢塘潮歌送吳子才赴禮部,,,子才,,,吳;錢
開元寺仁王院見叢竹偶書,,,,,,王;元
開封古城阻淺聞永叔喪女,,,永叔,,,聞;古;封
陪宜春守皮獻臣遊化成巖,,,獻臣,,,宜;成;皮
陪錢塘馬先生遊兩峰僧寺,,,,,,馬;錢
陳伯予見過喜予强健戲作,,,,,,陳
陳監丞用韻見贈亦和以謝,,,,,,陳;謝;和
陶夢得弼袖詩見訪用元韻,,,夢得,,,元;陶
雅歌樓詩送永豐宰鄧晉卿,,,晉卿,,,豐;鄧;宰
雪中俞仲淵寄詩見懷次韻,,,仲淵,,,懷;仲;俞
雪竇達觀禪師見寄依韻答,,,達觀,達觀,,竇
雪蓬見示送趙東巖巡部詩,,,,雪蓬;東巖,,蓬;東;趙
題伯時畫溫溪心等貢五馬,,,伯時,,,溫;馬;時
題太和主簿趙昌父思隠堂,,,昌父;太和,,趙昌父,昌;趙;和
題婺州永康縣延真觀松石,,,,,,松;康;石
題宜興閭邱令巢鳯亭二首,,,,,,宜;巢;閭邱;邱
題惠安頼汝恭溪山風月亭,,,,,,惠;安;山
題月心詩卷併記遇仙事云,,,,,,
題永新吳景蘇主簿梯雲樓,,,景蘇,,,雲;吳;蘇;景
題錢塘縣羅江東手植海棠,,,,,,東;錢;羅
題陳守宰仁和無倦堂二首,,,,,,陳;和;宰
飲郇公園贈章湖州何漢州,,,,,,何;章;公
餘姚江上作先寄城中親友,,,,,,姚
駒父次予舊韻見貽復次韻,,,駒父,,,
高潔堂來見因次前韻三首,,,,,,高
高郵陳直躬處士畫雁二首,,,,,,陳;高
鹽城阻冰雪贈陳德美三首,,,德美,,,陳
黄司法妻歐陽氏孺人挽詩,,,,,,歐陽;黃
默姪之官襄陽兩詩以送之,,,,,,
齊上人發心知羅漢堂求頌,,,,,,羅;齊
龍遊寺南屏軒和宋宏父韻,,,宏父,南屏,宋宏父,南;和;宋;龍
七言次韵和樂道出省後見寄,,,樂道,,,樂;和;後
三弟校尉生日用去臘見壽韻,,,日用,,,壽
丙辰十月見梅同感其韻再賦,,,,,,梅
丹霞本老見示拂子并頌次韻,,,,,,
乙巳邵武建寧夜坐書呈諸公,,,,,,武;公;邵;寧
九日落莫憶同施少才集長沙,,,少才,,施少才,莫;沙;施
予七十趙監稅見賀以詩次韻,,,,,,賀;趙
二十韻寄潮陽宰余君實日華,,,日華;君實,,余君實,余;宰
交溪靜安院見許尉題壁次韻,,,,,,許;安
代前清江守滕大著贈李吉州,,,,,,吉;李;滕
代同游者賦宿雲軒呈李果州,,,,,,宿;雲;游;李
代懷安王林丞上楊安撫十詩,,,,,,王;楊;安;懷;林
以茶寄宋君儀有詩見答和之,,,和之;君儀,,,和;宋
以蓮心茶送鞏使君小詩將之,,,,,,鞏
以雙梅二枝送郁簿小詩見意,,,,,,雙;郁;梅
伯洪以鐵拄杖見寄二絕謝之,,,伯洪,,,洪;謝
依韵和酬鮮于子駿郎中見寄,,,子駿,,鮮于子駿,于;鮮于;和
依韻和劉原甫舍人揚州五題,,,,,,劉;和
依韻和并州鄭宣徽見寄二首,,,,,,鄭;和
依韻和李君錫學士北使見寄,,,君錫,,李君錫,和;李
依韻和杭州梅龍圖入淮見寄,,,,,,杭;龍;和;梅
依韻和楊敏叔吳門秋晚見寄,,,敏叔,,,楊;吳;和;秋
依韻和王景彝馬上忽見槐花,,,景彝,,王景彝,王;馬;景;和
依韻和蠡澤王去微秀才見寄,,,,,,王;和
依韻和襄陽王源叔龍圖見寄,,,源叔,,王源叔,王;和;龍
依韻和達觀禪師還山後見寄,,,達觀,達觀,,山;和;後
依韻和酬用晦上人見題所居,,,用晦,,,和
依韻和雪竇山曇穎長老見寄,,,,,,竇;山;和
依韻答泰州王道粹學士見寄,,,,,,王
依韻答淮南祝秘校初春見寄,,,,,,初;祝;南
依韻答王源叔憶百花洲見寄,,,源叔,花洲,王源叔,王
假寐見海山異甚作小詩記之,,,,,,山
僕將南歸笑庵以詩見留次韻,,,,,,南
元日二首呈永豐劉叔冶知縣,,,叔冶,,劉叔冶,豐;元;劉
公素送酒見及復次前韻和答,,,公素,,,公;和
公美侍郎賦詩見詒次韵答謝,,,公美,,,公;謝
再和浣花韻呈李彭州李參政,,,,,,彭;和;李
再用前韵謝潘壽卿見和二首,,,壽卿,,,謝;和;潘;壽
再用前韻以謝諸公見答之什,,,,,,公;謝
冬至後賀皇太子及平陽郡王,,,子及,,,王;賀;平;後
初倅襄陽郡事感而自詠三首,,,,,,初
初夏山居有懷長沙從游四首,,,,,,游;懷;沙;初;夏;從;山
別東叔西叔二兄于遂寧門外,,,西叔;東叔,,,于;東;別;寧
到梅山弟家見瑞香盛開醉書,,,,,,家;盛;山;梅
劉蘄州見和木魚歌再賦二首,,,,,,劉;和;魚
劉行簡見借詩稿以長句歸之,,,行簡,,劉行簡,劉;簡
劉誼夫見寄雲溪之什用前韻,,,,雲溪,,雲;劉
北風累日不止寒甚寄鄭潮陽,,,,,,鄭
南乡子 德清舟中和老人韵,,,德清,,,和;南
南劍州伏虎巖請師開山請贊,,,開山,,,山;伏;南
南安劉太守席上勸曾叔達酒,,,叔達,,,席;曾;安;劉;南
南安巖主定光古佛木刻像贊,,,,,,安;古;南
卜算子 河南送妓移居河西,,,,,,卜;南
又一首答二猶子與王郎見和,,,子與,,,王;和
又寒食日見紫荆花有懷三館,,,,,,懷
台州兜率寺淳熙三年孟春作,,,,,,台;孟
史少訥見許江豚未得以詩戲,,,,,,許
吉水春暮訪蔡文慶處士留題,,,,,,蔡;吉
吉水縣依韻酬華松秀才見寄,,,,,,吉;松
同季再見和二首復用韻以謝,,,同季,,,謝;和;季
向和卿覽余詩見贈次韵奉酬,,,和卿,,向和卿,余;向;和
吳克明廣文見和再用韻答之,,,克明,,,廣;吳;和
呈趙表之大監爲祥符藏基也,,,表之,,,趙;符
告春亭詩爲江寧令荀晉仲作,,,晉仲,,,荀;仲;寧
周尉不來用單令韻見寄和之,,,和之,,,周;和;單
和交代韓公絳端明別後見寄,,,,,,和;後;公;別;韓
和余秀才遊綠浄堂以詩見寄,,,,,,余;和
和元舉叔見謝載酒之韻二首,,,,,,謝;元;和
和同年梁韶州寺丞次張寄詩,,,次張,,,韶;梁;和;張
和嚴州添倅趙彥先寄四絕句,,,彥先,,趙彥先,趙;和;嚴
和四二姪用林道叟見寄字韵,,,道叟,,,和;林
和夏臺知縣李尚賢殿直見贈,,,尚賢,,,夏;和;李
和天休舍人奉祠太一宮見寄,,,天休,,,宮;和
和張少卿過德清憶郎中五弟,,,德清;少卿,,,和;張
和成都轉運判官孫聖微見寄,,,聖微,,,成;和;孫
和文明主簿叔見寄之韻二首,,,,,,和
和曾無疑贈詩語及歐陽公事,,,無疑,,曾無疑,公;歐陽;和;曾
和李審言龍圖行次龍門見寄,,,審言;次龍,,李審言,和;李;龍
和東川吳幾復辨叔朝議見寄,,,叔朝;幾復,,,東;吳;和
和楊尚書韻送藺恭甫歸永康,,,恭甫,,,藺;楊;康;和
和歐陽叔向寺丞韻酬劉漸父,,,叔向,,,劉;歐陽;和;向
和王圜中道上初見梅花二首,,,中道,,,王;初;和;梅
和益公見謝紅都勝芍藥之句,,,,,,公;謝;和;紅
和竇又勇秋日見訪阻雨見贈,,,,,,竇;和;秋
和答劉太博携家遊廬山見寄,,,,,,家;山;劉;和
和答曹季永縣尉用前韻見貽,,,季永,,,季;和;曹
和胡完夫侍郎再次前韵見寄,,,完夫,,胡完夫,胡;和
和臘日初晴會同僚射飲投壺,,,,,,初;和
和蒲安行誠之見喜新受梓倅,,,安行;誠之,,,安;蒲;和
和蔡黄裳節推外邑見貽二首,,,,,,蔡;和;黃
和遂州太守李安上年兄見貽,,,安上,,,安;和;李
和運使王學士舟次德清見寄,,,德清,,,王;和
和鄧善之寄王一初并見柬韻,,,善之,,,王;初;鄧;和
和陳圖南安昌巖避暑詩二首,,,圖南,,陳圖南,陳;和;昌;安;南
和韓丈寄崖簿大雅并見簡韻,,,大雅,,,和;韓;簡
和韓燕河南府秀才送周光宗,,,光宗,,,燕;和;宗;周;韓;南
和韶州許使君令子送別之韵,,,令子,,,許;別;和;韶
和馬先生雨中見過四疊前韻,,,,,,馬;和
和魏桐城題三瀑泉贈湯洞卿,,,,,,魏;和;湯
和龍圖王學士經涂洛邑見寄,,,,,,王;和;涂;龍
問大冶長老乞桃花茶栽東坡,,,,,,東
喜李鶴田至次阮雲心韻兼寄,,,,,,田;雲;阮;李
嚴丈泰伯見貽古句次韵爲答,,,伯見,,,古;嚴
四十二弟將還賓州相過夜話,,,,,,相
四月十二日飲陸君用見山堂,,,君用;山堂,山堂,,山;陸
因振之之行過新昌懷鮑清卿,,,清卿;振之,,,鮑;昌;懷
園中梅有開者寄呈當塗叔祖,,,有開,,,祖;梅
夏旱奉詔餘杭疏决歸上封事,,,,,,杭;夏;封
多日不收家信再和呈丁合州,,,,,,家;和;丁
夢錫楊節之孫昌齡見過小飲,,,節之;昌齡;夢錫,,孫昌齡,楊;昌;孫
大雷雨中舟過蒼溪懷杜子美,,,子美,,,懷;杜;雷;蒼
奉和內翰太中建昌三見梅花,,,,,,昌;和;梅
奉和君俞以子華古德頌見示,,,君俞;德頌;子華,,,古;和;俞
奉酬長文舍人出城見示之句,,,長文,,,
奏乞奉祠留衢州皇華館待命,,,,,,
姜子平鄭華父見訪留飲月下,,,華父;子平,,鄭華父,鄭;平;姜
婺州傅仁贄詩求見依韻和之,,,和之,,,傅;和
子蒼見和二篇再用前韵酬之,,,子蒼,,,和;蒼
孝顯追送至沙溪書所見以別,,,,,,別;沙
安福縣岳興院希琦求予真贊,,,,,,安;岳
宏父見招賞梅時范子芬欲行,,,宏父,,,時;范;梅
宜春宴射篇李駙馬請賦雜言,,,,,,宜;馬;李
客自邵武來言王野使君平寇,,,君平,,,武;邵;王;寇;平
寄南海李龍圖求素馨含笑花,,,,,,南;李;龍
寄台州瑞巖高原禪師住靈隠,,,,,,台;高
寄和竹所叔攝慈溪稅官二首,,,寄和,竹所,,和
